HUÁNUCO|PARTIDO POLÍTICO COOPERACIÓN POPULAR	1931
HUÁNUCO|PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA	1090
HUÁNUCO|PARTIDO POLÍTICO NACIONAL PERÚ LIBRE	2762
HUÁNUCO|PARTIDO POLÍTICO PERÚ ACCIÓN	683
HUÁNUCO|PARTIDO POLÍTICO PERÚ PRIMERO	3969
HUÁNUCO|PARTIDO POLÍTICO PRIN	232
HUÁNUCO|PARTIDO SICREO	7771
HUÁNUCO|PERÚ MODERNO	264
HUÁNUCO|PODEMOS PERÚ	7022
HUÁNUCO|PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO	6035
HUÁNUCO|PROGRESEMOS	1199
HUÁNUCO|RENOVACIÓN POPULAR	20181
HUÁNUCO|SALVEMOS AL PERÚ	548
HUÁNUCO|UN CAMINO DIFERENTE	850
HUÁNUCO|UNIDAD NACIONAL	815
HUÁNUCO|VOTOS EN BLANCO	73344
HUÁNUCO|VOTOS NULOS	24590
ICA|AHORA NACIÓN - AN	31911
ICA|ALIANZA ELECTORAL VENCEREMOS	2998
ICA|ALIANZA PARA EL PROGRESO	5199
ICA|AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL	1091
ICA|FE EN EL PERÚ	432
ICA|FUERZA POPULAR	98055
ICA|FUERZA Y LIBERTAD	881
